account_id,trustline_status,balance,traded_in,trades_total,trades_as_base,trades_as_counter,snapshot_min_ledger,snapshot_max_ledger,methodology_version
GACILNVZCTNPSAXUOOMH75MBXKFFOBRTWUG64Z6Z7QOJF2SG436VSUTJ,no trustline at pull,,2026-08,1,0,1,64211133,64211152,1.0.5-draft
GACJLCIMTADKHHKPKI7PBRETH7BT3ALZNTLDNGNK4KHZHOXKOZYA5VAB,no trustline at pull,,2026-08,1,1,0,64211133,64211152,1.0.5-draft
GADSSHSO7KFNODKZ3FBYXXAQFKLW6QCOXMOZSYEM4XAHW54IYYM5FLWO,no trustline at pull,,2026-02 + 2026-08,17,12,5,64211133,64211152,1.0.5-draft
GADUP4XUZ5PUVDRX6DXZRTSVIIZW3CXOQPVGARBKBUVMPZNKG7DE4W4M,no trustline at pull,,2026-08,2417,1734,683,64211133,64211152,1.0.5-draft
GADUWAZOC3Y2QT2WGPS2GT76YP2F7NR6G5BXNVEJF5TJYMKNTYDHFR3O,no trustline at pull,,2026-08,1,0,1,64211133,64211152,1.0.5-draft
GAE2PTI6HG4SUCHTH7VJ2VDMFOVMXVH3OYW66SN2B6BK5QQUKZRKFL6S,no trustline at pull,,2026-08,1,1,0,64211133,64211152,1.0.5-draft
GAELEOBSLSTTEOZNHLYQ4NM7AW54HZW7KHJPPCNPT3SSCS2ZXIPZI6IE,no trustline at pull,,2026-08,1,0,1,64211133,64211152,1.0.5-draft
GAEWJW7QTMVMZBD2EZBHOD2FY7KHP34HWLA5B7RT4TUJ4OOYEYWPROTJ,no trustline at pull,,2026-02,1,0,1,64211133,64211152,1.0.5-draft
GAFB7IYPCYZCODQBB5BR5JO45JC4PPVLARUAXQSFHWTLH2KMHPWJ36GD,no trustline at pull,,2026-08,11241,9720,1521,64211133,64211152,1.0.5-draft
GAFEDMD42RJVK4TWOV7QXFTBPJOU7HIKS4DBNKZYUNFUEK24AW26ZJJ5,no trustline at pull,,2026-08,163,76,87,64211133,64211152,1.0.5-draft
GAFIAE3DA3ZHGXVLVOAEYYBJM5ZQPCJZ4N6XGTI5UCQUVDX62F6HBB4R,no trustline at pull,,2026-02 + 2026-08,2,1,1,64211133,64211152,1.0.5-draft
GAFQVA4W6N7MTURDY3VQIZCDPQDTEW3ZTNZAFU37UAUDVCAIVFC6W3OM,no trustline at pull,,2026-08,1,1,0,64211133,64211152,1.0.5-draft
GAFYXEXG66CVYM4F73M3SYSMNTCZ3O2KLC7T25GH6W63AJKSUWOGJFVT,no trustline at pull,,2026-02,2,1,1,64211133,64211152,1.0.5-draft
GAG2KBHTPWUFOFS6PEHGZDZSGIQ5KAE4LNEGMUCTBKGZMHAJ5EXJBARS,no trustline at pull,,2026-02,151,60,91,64211133,64211152,1.0.5-draft
GAGWN4UM3IABK37TYR4FVQZ2DTH5VLUZ2656NSV6AA7FD6WUDJCXBEN3,no trustline at pull,,2026-08,1,0,1,64211133,64211152,1.0.5-draft
GAGZIKPS4FCBPKTL7YZHFWNODPOX2GHSA6LDPOIUYNW7B3H7NUKO7AP5,no trustline at pull,,2026-02,3,2,1,64211133,64211152,1.0.5-draft
GAIEPBGN5PFYDADDFNNDXERXIUMEHZGYSRFBEWFA7PGSESRS57LSKFCL,no trustline at pull,,2026-08,1,0,1,64211133,64211152,1.0.5-draft
GAIN2HU2ITUZPLGNWSH7JXXROL7MYIWDYXCUQDMQVJXFBEBPETSZYHNF,holds a non-zero balance,915.9913951,2026-02,2,2,0,64211133,64211152,1.0.5-draft
GAINDVHGHGSIH6AO4C2DBLOWSPGL6CVPBBNKVXIOFZANAWFZPTVOHAUS,no trustline at pull,,2026-02,1,0,1,64211133,64211152,1.0.5-draft
GAIU3QEJSGSLMTH6TYLE7WMEKV3RGCL46MX5CTQGNGIHZXIAF5JJCTQ7,no trustline at pull,,2026-02,1,0,1,64211133,64211152,1.0.5-draft
GAIY6FWAYXU2EOGZ3W7HTFGKGBYNBO2ONRHGAYKBUVSY72H6UGGUJ75A,no trustline at pull,,2026-08,1334,1135,199,64211133,64211152,1.0.5-draft
GAJ5BCJQMTG7E56A624ZEGWKUPXNH5NAADAVMCNQ6LOCUPRCBFWYE6IR,"trustline open, zero balance",0.0000000,2026-08,1,1,0,64211133,64211152,1.0.5-draft
