verdict,pair,ledger,recorded_bids,recorded_asks,rebuilt_bids,rebuilt_asks,levels_match,prices_match,amounts_match,risk_match,offers_carried,offers_changed_after_target,offers_gone_unresolved,requests,explanation,error,recording,methodology_version,recorded_at,rebuilt_at,elapsed_seconds
PARTIAL,AQUA:GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302370,57,200,56,314,no,no,yes,yes,498,3,0,8,"level counts differ: recorded 57 bid / 200 ask, rebuilt 56 bid / 314 ask (a recorded side is at the endpoint limit and is a prefix)",,recordings/ledgercount-2026-09-06/AQUA.GBNZILST-USDC.GA5ZSEJY/2026-09-06/64302370.json.gz,1.0.8-draft,2026-09-06T15:05:31Z,2026-09-06T15:10:46Z,315.228
PARTIAL,USTRY:GCRYUGD5NVARGXT56XEZI5CIFCQETYHAPQQTHO2O3IQZTHDH4LATMYWC/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302370,15,11,14,11,no,no,yes,no,29,1,0,6,"level counts differ: recorded 15 bid / 11 ask, rebuilt 14 bid / 11 ask",,recordings/ledgercount-2026-09-06/USTRY.GCRYUGD5-USDC.GA5ZSEJY/2026-09-06/64302370.json.gz,1.0.8-draft,2026-09-06T15:05:32Z,2026-09-06T15:10:48Z,316.712
PARTIAL,XLM/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302391,200,200,723,1139,yes,no,yes,yes,4346,53,26,32,"bid 0 price differs: recorded 25856161/141104072, rebuilt 1829757/10000000",,recordings/ledgercount-2026-09-06/XLM.native-USDC.GA5ZSEJY/2026-09-06/64302391.json.gz,1.0.8-draft,2026-09-06T15:07:28Z,2026-09-06T15:12:28Z,300.004
PARTIAL,EURC:GDHU6WRG4IEQXM5NZ4BMPKOXHW76MZM4Y2IEMFDVXBSDP6SJY4ITNPP2/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302391,65,86,63,64,no,no,yes,no,136,24,1,6,"level counts differ: recorded 65 bid / 86 ask, rebuilt 63 bid / 64 ask",,recordings/ledgercount-2026-09-06/EURC.GDHU6WRG-USDC.GA5ZSEJY/2026-09-06/64302391.json.gz,1.0.8-draft,2026-09-06T15:07:28Z,2026-09-06T15:12:38Z,310.258
PARTIAL,PYUSD:GDQE7IXJ4HUHV6RQHIUPRJSEZE4DRS5WY577O2FY6YQ5LVWZ7JZTU2V5/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302391,21,17,21,13,no,no,yes,no,39,4,0,5,"level counts differ: recorded 21 bid / 17 ask, rebuilt 21 bid / 13 ask",,recordings/ledgercount-2026-09-06/PYUSD.GDQE7IXJ-USDC.GA5ZSEJY/2026-09-06/64302391.json.gz,1.0.8-draft,2026-09-06T15:07:29Z,2026-09-06T15:12:40Z,311.679
PARTIAL,AUDD:GDC7X2MXTYSAKUUGAIQ7J7RPEIM7GXSAIWFYWWH4GLNFECQVJJLB2EEU/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302391,11,5,8,5,no,no,yes,no,18,5,0,8,"level counts differ: recorded 11 bid / 5 ask, rebuilt 8 bid / 5 ask",,recordings/ledgercount-2026-09-06/AUDD.GDC7X2MX-USDC.GA5ZSEJY/2026-09-06/64302391.json.gz,1.0.8-draft,2026-09-06T15:07:29Z,2026-09-06T15:12:42Z,313.09
MATCH,ARST:GCSAZVWXZKWS4XS223M5F54H2B6XPIIXZZGP7KEAIU6YSL5HDRGCI3DG/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302391,6,23,6,23,yes,yes,yes,yes,30,0,0,6,,,recordings/ledgercount-2026-09-06/ARST.GCSAZVWX-USDC.GA5ZSEJY/2026-09-06/64302391.json.gz,1.0.8-draft,2026-09-06T15:07:30Z,2026-09-06T15:12:44Z,314.383
MATCH,BRL:GDVKY2GU2DRXWTBEYJJWSFXIGBZV6AZNBVVSUHEPZI54LIS6BA7DVVSP/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302391,35,5,35,5,yes,yes,yes,yes,41,0,0,6,,,recordings/ledgercount-2026-09-06/BRL.GDVKY2GU-USDC.GA5ZSEJY/2026-09-06/64302391.json.gz,1.0.8-draft,2026-09-06T15:07:30Z,2026-09-06T15:12:46Z,316.153
PARTIAL,AQUA:GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302392,57,200,56,300,no,no,yes,yes,484,17,0,8,"level counts differ: recorded 57 bid / 200 ask, rebuilt 56 bid / 300 ask (a recorded side is at the endpoint limit and is a prefix)",,recordings/ledgercount-2026-09-06/AQUA.GBNZILST-USDC.GA5ZSEJY/2026-09-06/64302392.json.gz,1.0.8-draft,2026-09-06T15:07:31Z,2026-09-06T15:12:47Z,316.773
PARTIAL,USTRY:GCRYUGD5NVARGXT56XEZI5CIFCQETYHAPQQTHO2O3IQZTHDH4LATMYWC/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302392,15,11,14,11,no,no,yes,no,29,1,0,6,"level counts differ: recorded 15 bid / 11 ask, rebuilt 14 bid / 11 ask",,recordings/ledgercount-2026-09-06/USTRY.GCRYUGD5-USDC.GA5ZSEJY/2026-09-06/64302392.json.gz,1.0.8-draft,2026-09-06T15:07:31Z,2026-09-06T15:12:49Z,318.911
PARTIAL,XLM/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302412,200,200,723,1139,yes,no,yes,yes,4346,53,19,34,"bid 0 price differs: recorded 5000000/27279979, rebuilt 1829757/10000000",,recordings/ledgercount-2026-09-06/XLM.native-USDC.GA5ZSEJY/2026-09-06/64302412.json.gz,1.0.8-draft,2026-09-06T15:09:28Z,2026-09-06T15:14:28Z,300.005
PARTIAL,EURC:GDHU6WRG4IEQXM5NZ4BMPKOXHW76MZM4Y2IEMFDVXBSDP6SJY4ITNPP2/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302413,64,85,63,66,no,no,yes,no,138,19,0,6,"level counts differ: recorded 64 bid / 85 ask, rebuilt 63 bid / 66 ask",,recordings/ledgercount-2026-09-06/EURC.GDHU6WRG-USDC.GA5ZSEJY/2026-09-06/64302413.json.gz,1.0.8-draft,2026-09-06T15:09:28Z,2026-09-06T15:14:40Z,312.947
PARTIAL,PYUSD:GDQE7IXJ4HUHV6RQHIUPRJSEZE4DRS5WY577O2FY6YQ5LVWZ7JZTU2V5/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302413,21,17,21,13,no,no,yes,no,39,4,0,5,"level counts differ: recorded 21 bid / 17 ask, rebuilt 21 bid / 13 ask",,recordings/ledgercount-2026-09-06/PYUSD.GDQE7IXJ-USDC.GA5ZSEJY/2026-09-06/64302413.json.gz,1.0.8-draft,2026-09-06T15:09:29Z,2026-09-06T15:14:42Z,313.589
PARTIAL,AUDD:GDC7X2MXTYSAKUUGAIQ7J7RPEIM7GXSAIWFYWWH4GLNFECQVJJLB2EEU/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302413,11,5,8,5,no,no,yes,no,18,5,0,9,"level counts differ: recorded 11 bid / 5 ask, rebuilt 8 bid / 5 ask",,recordings/ledgercount-2026-09-06/AUDD.GDC7X2MX-USDC.GA5ZSEJY/2026-09-06/64302413.json.gz,1.0.8-draft,2026-09-06T15:09:29Z,2026-09-06T15:14:43Z,314.876
MATCH,ARST:GCSAZVWXZKWS4XS223M5F54H2B6XPIIXZZGP7KEAIU6YSL5HDRGCI3DG/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302413,6,23,6,23,yes,yes,yes,yes,30,0,0,6,,,recordings/ledgercount-2026-09-06/ARST.GCSAZVWX-USDC.GA5ZSEJY/2026-09-06/64302413.json.gz,1.0.8-draft,2026-09-06T15:09:30Z,2026-09-06T15:14:46Z,316.471
MATCH,BRL:GDVKY2GU2DRXWTBEYJJWSFXIGBZV6AZNBVVSUHEPZI54LIS6BA7DVVSP/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302413,35,5,35,5,yes,yes,yes,yes,41,0,0,6,,,recordings/ledgercount-2026-09-06/BRL.GDVKY2GU-USDC.GA5ZSEJY/2026-09-06/64302413.json.gz,1.0.8-draft,2026-09-06T15:09:30Z,2026-09-06T15:14:48Z,318.283
PARTIAL,AQUA:GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302413,57,200,48,293,no,no,yes,yes,469,29,0,8,"level counts differ: recorded 57 bid / 200 ask, rebuilt 48 bid / 293 ask (a recorded side is at the endpoint limit and is a prefix)",,recordings/ledgercount-2026-09-06/AQUA.GBNZILST-USDC.GA5ZSEJY/2026-09-06/64302413.json.gz,1.0.8-draft,2026-09-06T15:09:31Z,2026-09-06T15:14:49Z,318.965
PARTIAL,USTRY:GCRYUGD5NVARGXT56XEZI5CIFCQETYHAPQQTHO2O3IQZTHDH4LATMYWC/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302413,15,11,14,11,no,no,yes,no,29,1,0,6,"level counts differ: recorded 15 bid / 11 ask, rebuilt 14 bid / 11 ask",,recordings/ledgercount-2026-09-06/USTRY.GCRYUGD5-USDC.GA5ZSEJY/2026-09-06/64302413.json.gz,1.0.8-draft,2026-09-06T15:09:31Z,2026-09-06T15:14:52Z,321.349
PARTIAL,XLM/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302434,200,200,721,1139,yes,no,yes,yes,4347,55,14,33,"bid 0 price differs: recorded 18328167/100000000, rebuilt 1829757/10000000",,recordings/ledgercount-2026-09-06/XLM.native-USDC.GA5ZSEJY/2026-09-06/64302434.json.gz,1.0.8-draft,2026-09-06T15:11:28Z,2026-09-06T15:16:28Z,300.003
PARTIAL,EURC:GDHU6WRG4IEQXM5NZ4BMPKOXHW76MZM4Y2IEMFDVXBSDP6SJY4ITNPP2/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302434,64,84,63,70,no,no,yes,no,143,13,0,6,"level counts differ: recorded 64 bid / 84 ask, rebuilt 63 bid / 70 ask",,recordings/ledgercount-2026-09-06/EURC.GDHU6WRG-USDC.GA5ZSEJY/2026-09-06/64302434.json.gz,1.0.8-draft,2026-09-06T15:11:28Z,2026-09-06T15:16:38Z,310.185
PARTIAL,PYUSD:GDQE7IXJ4HUHV6RQHIUPRJSEZE4DRS5WY577O2FY6YQ5LVWZ7JZTU2V5/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302434,21,16,19,13,no,no,yes,no,37,6,1,6,"level counts differ: recorded 21 bid / 16 ask, rebuilt 19 bid / 13 ask",,recordings/ledgercount-2026-09-06/PYUSD.GDQE7IXJ-USDC.GA5ZSEJY/2026-09-06/64302434.json.gz,1.0.8-draft,2026-09-06T15:11:30Z,2026-09-06T15:16:39Z,309.985
PARTIAL,AUDD:GDC7X2MXTYSAKUUGAIQ7J7RPEIM7GXSAIWFYWWH4GLNFECQVJJLB2EEU/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302435,11,5,8,5,no,no,yes,no,18,5,0,8,"level counts differ: recorded 11 bid / 5 ask, rebuilt 8 bid / 5 ask",,recordings/ledgercount-2026-09-06/AUDD.GDC7X2MX-USDC.GA5ZSEJY/2026-09-06/64302435.json.gz,1.0.8-draft,2026-09-06T15:11:31Z,2026-09-06T15:16:41Z,310.707
MATCH,ARST:GCSAZVWXZKWS4XS223M5F54H2B6XPIIXZZGP7KEAIU6YSL5HDRGCI3DG/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302435,6,23,6,23,yes,yes,yes,yes,30,0,0,5,,,recordings/ledgercount-2026-09-06/ARST.GCSAZVWX-USDC.GA5ZSEJY/2026-09-06/64302435.json.gz,1.0.8-draft,2026-09-06T15:11:31Z,2026-09-06T15:16:48Z,317.612
MATCH,BRL:GDVKY2GU2DRXWTBEYJJWSFXIGBZV6AZNBVVSUHEPZI54LIS6BA7DVVSP/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302435,35,5,35,5,yes,yes,yes,yes,41,0,0,5,,,recordings/ledgercount-2026-09-06/BRL.GDVKY2GU-USDC.GA5ZSEJY/2026-09-06/64302435.json.gz,1.0.8-draft,2026-09-06T15:11:32Z,2026-09-06T15:16:49Z,317.954
PARTIAL,AQUA:GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302435,57,200,44,296,no,no,yes,yes,468,26,0,8,"level counts differ: recorded 57 bid / 200 ask, rebuilt 44 bid / 296 ask (a recorded side is at the endpoint limit and is a prefix)",,recordings/ledgercount-2026-09-06/AQUA.GBNZILST-USDC.GA5ZSEJY/2026-09-06/64302435.json.gz,1.0.8-draft,2026-09-06T15:11:33Z,2026-09-06T15:16:51Z,318.247
PARTIAL,USTRY:GCRYUGD5NVARGXT56XEZI5CIFCQETYHAPQQTHO2O3IQZTHDH4LATMYWC/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302435,15,11,14,11,no,no,yes,no,29,1,0,7,"level counts differ: recorded 15 bid / 11 ask, rebuilt 14 bid / 11 ask",,recordings/ledgercount-2026-09-06/USTRY.GCRYUGD5-USDC.GA5ZSEJY/2026-09-06/64302435.json.gz,1.0.8-draft,2026-09-06T15:11:34Z,2026-09-06T15:16:53Z,319.482
PARTIAL,XLM/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302455,200,200,721,1137,yes,no,yes,yes,4347,72,11,33,"bid 0 price differs: recorded 10000000/54613033, rebuilt 1829757/10000000",,recordings/ledgercount-2026-09-06/XLM.native-USDC.GA5ZSEJY/2026-09-06/64302455.json.gz,1.0.8-draft,2026-09-06T15:13:28Z,2026-09-06T15:18:28Z,300.002
PARTIAL,EURC:GDHU6WRG4IEQXM5NZ4BMPKOXHW76MZM4Y2IEMFDVXBSDP6SJY4ITNPP2/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302456,65,83,58,58,no,no,yes,no,127,26,1,6,"level counts differ: recorded 65 bid / 83 ask, rebuilt 58 bid / 58 ask",,recordings/ledgercount-2026-09-06/EURC.GDHU6WRG-USDC.GA5ZSEJY/2026-09-06/64302456.json.gz,1.0.8-draft,2026-09-06T15:13:28Z,2026-09-06T15:18:40Z,312.449
PARTIAL,PYUSD:GDQE7IXJ4HUHV6RQHIUPRJSEZE4DRS5WY577O2FY6YQ5LVWZ7JZTU2V5/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302456,21,17,19,13,no,no,yes,no,37,6,1,6,"level counts differ: recorded 21 bid / 17 ask, rebuilt 19 bid / 13 ask",,recordings/ledgercount-2026-09-06/PYUSD.GDQE7IXJ-USDC.GA5ZSEJY/2026-09-06/64302456.json.gz,1.0.8-draft,2026-09-06T15:13:29Z,2026-09-06T15:18:42Z,313.224
MATCH,AUDD:GDC7X2MXTYSAKUUGAIQ7J7RPEIM7GXSAIWFYWWH4GLNFECQVJJLB2EEU/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302456,11,5,11,5,yes,yes,yes,yes,23,0,0,8,,,recordings/ledgercount-2026-09-06/AUDD.GDC7X2MX-USDC.GA5ZSEJY/2026-09-06/64302456.json.gz,1.0.8-draft,2026-09-06T15:13:29Z,2026-09-06T15:18:43Z,314.813
MATCH,ARST:GCSAZVWXZKWS4XS223M5F54H2B6XPIIXZZGP7KEAIU6YSL5HDRGCI3DG/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302456,6,23,6,23,yes,yes,yes,yes,30,0,0,5,,,recordings/ledgercount-2026-09-06/ARST.GCSAZVWX-USDC.GA5ZSEJY/2026-09-06/64302456.json.gz,1.0.8-draft,2026-09-06T15:13:30Z,2026-09-06T15:18:46Z,316.406
MATCH,BRL:GDVKY2GU2DRXWTBEYJJWSFXIGBZV6AZNBVVSUHEPZI54LIS6BA7DVVSP/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302456,35,5,35,5,yes,yes,yes,yes,41,0,0,5,,,recordings/ledgercount-2026-09-06/BRL.GDVKY2GU-USDC.GA5ZSEJY/2026-09-06/64302456.json.gz,1.0.8-draft,2026-09-06T15:13:30Z,2026-09-06T15:18:47Z,317.727
PARTIAL,AQUA:GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302456,57,200,42,314,no,no,yes,yes,484,15,0,7,"level counts differ: recorded 57 bid / 200 ask, rebuilt 42 bid / 314 ask (a recorded side is at the endpoint limit and is a prefix)",,recordings/ledgercount-2026-09-06/AQUA.GBNZILST-USDC.GA5ZSEJY/2026-09-06/64302456.json.gz,1.0.8-draft,2026-09-06T15:13:31Z,2026-09-06T15:18:49Z,318.126
PARTIAL,USTRY:GCRYUGD5NVARGXT56XEZI5CIFCQETYHAPQQTHO2O3IQZTHDH4LATMYWC/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302456,15,11,14,10,no,no,yes,no,28,2,0,6,"level counts differ: recorded 15 bid / 11 ask, rebuilt 14 bid / 10 ask",,recordings/ledgercount-2026-09-06/USTRY.GCRYUGD5-USDC.GA5ZSEJY/2026-09-06/64302456.json.gz,1.0.8-draft,2026-09-06T15:13:33Z,2026-09-06T15:18:51Z,318.053
PARTIAL,XLM/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302477,200,200,735,1131,yes,no,yes,yes,4352,60,18,32,"bid 0 price differs: recorded 10000000/54613033, rebuilt 1829757/10000000",,recordings/ledgercount-2026-09-06/XLM.native-USDC.GA5ZSEJY/2026-09-06/64302477.json.gz,1.0.8-draft,2026-09-06T15:15:28Z,2026-09-06T15:20:28Z,300.007
PARTIAL,EURC:GDHU6WRG4IEQXM5NZ4BMPKOXHW76MZM4Y2IEMFDVXBSDP6SJY4ITNPP2/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302477,65,81,58,55,no,no,yes,no,124,43,1,6,"level counts differ: recorded 65 bid / 81 ask, rebuilt 58 bid / 55 ask",,recordings/ledgercount-2026-09-06/EURC.GDHU6WRG-USDC.GA5ZSEJY/2026-09-06/64302477.json.gz,1.0.8-draft,2026-09-06T15:15:28Z,2026-09-06T15:20:37Z,309.855
PARTIAL,PYUSD:GDQE7IXJ4HUHV6RQHIUPRJSEZE4DRS5WY577O2FY6YQ5LVWZ7JZTU2V5/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302477,21,17,19,13,no,no,yes,no,37,6,1,6,"level counts differ: recorded 21 bid / 17 ask, rebuilt 19 bid / 13 ask",,recordings/ledgercount-2026-09-06/PYUSD.GDQE7IXJ-USDC.GA5ZSEJY/2026-09-06/64302477.json.gz,1.0.8-draft,2026-09-06T15:15:29Z,2026-09-06T15:20:39Z,310.554
PARTIAL,AUDD:GDC7X2MXTYSAKUUGAIQ7J7RPEIM7GXSAIWFYWWH4GLNFECQVJJLB2EEU/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302477,11,5,8,5,no,no,yes,no,18,5,0,7,"level counts differ: recorded 11 bid / 5 ask, rebuilt 8 bid / 5 ask",,recordings/ledgercount-2026-09-06/AUDD.GDC7X2MX-USDC.GA5ZSEJY/2026-09-06/64302477.json.gz,1.0.8-draft,2026-09-06T15:15:29Z,2026-09-06T15:20:41Z,312.22
MATCH,ARST:GCSAZVWXZKWS4XS223M5F54H2B6XPIIXZZGP7KEAIU6YSL5HDRGCI3DG/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302477,6,23,6,23,yes,yes,yes,yes,30,0,0,5,,,recordings/ledgercount-2026-09-06/ARST.GCSAZVWX-USDC.GA5ZSEJY/2026-09-06/64302477.json.gz,1.0.8-draft,2026-09-06T15:15:30Z,2026-09-06T15:20:43Z,313.335
MATCH,BRL:GDVKY2GU2DRXWTBEYJJWSFXIGBZV6AZNBVVSUHEPZI54LIS6BA7DVVSP/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302478,35,5,35,5,yes,yes,yes,yes,41,0,0,5,,,recordings/ledgercount-2026-09-06/BRL.GDVKY2GU-USDC.GA5ZSEJY/2026-09-06/64302478.json.gz,1.0.8-draft,2026-09-06T15:15:30Z,2026-09-06T15:20:44Z,314.895
PARTIAL,AQUA:GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302478,53,200,41,314,no,no,yes,yes,483,16,0,8,"level counts differ: recorded 53 bid / 200 ask, rebuilt 41 bid / 314 ask (a recorded side is at the endpoint limit and is a prefix)",,recordings/ledgercount-2026-09-06/AQUA.GBNZILST-USDC.GA5ZSEJY/2026-09-06/64302478.json.gz,1.0.8-draft,2026-09-06T15:15:31Z,2026-09-06T15:20:47Z,316.013
PARTIAL,USTRY:GCRYUGD5NVARGXT56XEZI5CIFCQETYHAPQQTHO2O3IQZTHDH4LATMYWC/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302478,15,11,14,10,no,no,yes,no,28,2,0,6,"level counts differ: recorded 15 bid / 11 ask, rebuilt 14 bid / 10 ask",,recordings/ledgercount-2026-09-06/USTRY.GCRYUGD5-USDC.GA5ZSEJY/2026-09-06/64302478.json.gz,1.0.8-draft,2026-09-06T15:15:31Z,2026-09-06T15:20:49Z,318.363
PARTIAL,XLM/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302499,200,200,738,1126,yes,no,yes,yes,4350,67,14,34,"bid 0 price differs: recorded 9169083/50000000, rebuilt 1829757/10000000",,recordings/ledgercount-2026-09-06/XLM.native-USDC.GA5ZSEJY/2026-09-06/64302499.json.gz,1.0.8-draft,2026-09-06T15:17:28Z,2026-09-06T15:22:28Z,300.005
PARTIAL,EURC:GDHU6WRG4IEQXM5NZ4BMPKOXHW76MZM4Y2IEMFDVXBSDP6SJY4ITNPP2/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302499,65,81,48,69,no,no,yes,no,128,41,1,6,"level counts differ: recorded 65 bid / 81 ask, rebuilt 48 bid / 69 ask",,recordings/ledgercount-2026-09-06/EURC.GDHU6WRG-USDC.GA5ZSEJY/2026-09-06/64302499.json.gz,1.0.8-draft,2026-09-06T15:17:28Z,2026-09-06T15:22:39Z,311.484
PARTIAL,PYUSD:GDQE7IXJ4HUHV6RQHIUPRJSEZE4DRS5WY577O2FY6YQ5LVWZ7JZTU2V5/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302499,21,17,19,14,no,no,yes,no,38,5,1,6,"level counts differ: recorded 21 bid / 17 ask, rebuilt 19 bid / 14 ask",,recordings/ledgercount-2026-09-06/PYUSD.GDQE7IXJ-USDC.GA5ZSEJY/2026-09-06/64302499.json.gz,1.0.8-draft,2026-09-06T15:17:29Z,2026-09-06T15:22:41Z,312.274
PARTIAL,AUDD:GDC7X2MXTYSAKUUGAIQ7J7RPEIM7GXSAIWFYWWH4GLNFECQVJJLB2EEU/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302499,11,5,8,5,no,no,yes,no,18,5,0,6,"level counts differ: recorded 11 bid / 5 ask, rebuilt 8 bid / 5 ask",,recordings/ledgercount-2026-09-06/AUDD.GDC7X2MX-USDC.GA5ZSEJY/2026-09-06/64302499.json.gz,1.0.8-draft,2026-09-06T15:17:29Z,2026-09-06T15:22:42Z,313.848
MATCH,ARST:GCSAZVWXZKWS4XS223M5F54H2B6XPIIXZZGP7KEAIU6YSL5HDRGCI3DG/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302499,6,23,6,23,yes,yes,yes,yes,30,0,0,5,,,recordings/ledgercount-2026-09-06/ARST.GCSAZVWX-USDC.GA5ZSEJY/2026-09-06/64302499.json.gz,1.0.8-draft,2026-09-06T15:17:30Z,2026-09-06T15:22:44Z,314.385
MATCH,BRL:GDVKY2GU2DRXWTBEYJJWSFXIGBZV6AZNBVVSUHEPZI54LIS6BA7DVVSP/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302499,35,5,35,5,yes,yes,yes,yes,41,0,0,6,,,recordings/ledgercount-2026-09-06/BRL.GDVKY2GU-USDC.GA5ZSEJY/2026-09-06/64302499.json.gz,1.0.8-draft,2026-09-06T15:17:30Z,2026-09-06T15:22:45Z,315.774
