day,trades,volume_quote,price_open,price_close,price_low,price_high,max_delta_within_leg,max_delta_between_legs,bound_within_leg_delta_0.02,bound_within_leg_source_0.02,bound_within_leg_delta_0.05,bound_within_leg_source_0.05,bound_within_leg_delta_0.1,bound_within_leg_source_0.1,bound_within_leg_delta_0.5,bound_within_leg_source_0.5,bound_between_legs_delta_0.02,bound_between_legs_source_0.02,bound_between_legs_gap_seconds_0.02,bound_between_legs_delta_0.05,bound_between_legs_source_0.05,bound_between_legs_gap_seconds_0.05,bound_between_legs_delta_0.1,bound_between_legs_source_0.1,bound_between_legs_gap_seconds_0.1,bound_between_legs_delta_0.5,bound_between_legs_source_0.5,bound_between_legs_gap_seconds_0.5,thin_depth_5pct_within_leg,thin_depth_5pct_between_legs,manipulation_cheap_within_leg,manipulation_cheap_between_legs
2026-08-01,603,5.7967696,1.07128275375,1.0713767772499998,1.0707582435,1.0713767772499998,0.0000492521788753410172812146,0.0005103456966910030010396581,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-02,424,9.9290907,1.0713767772499998,1.0709352709713047,1.07084122275,1.0714708007494997,0.0000025879777167547973227938,0.0005001250312579544853078247,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-03,286,22.905472,1.0709352709713047,1.0710291757495,1.0701513067400275,1.07153723,0.0000056248957620713820085375,0.000810045975754146023233091,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-04,328,7.7712608,1.0710291757495,1.0711221525,1.069701280227596,1.07164451,0.0000873611726957914472089785,0.0012715140608333276798645861,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-05,781,34.9780858,1.0711221525,1.07121712875,1.0711221525,1.0717418685,0.0000177472668320219787949509,0.0005001250312580012623559582,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-06,2053,85.899544,1.07121712875,1.0711801379990002,1.0711801379990002,1.0718348917489997,0.0000206365706340334073669677,0.0005001250312580012595481016,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-07,554,7.4488842,1.0711801379990002,1.0712781135,1.0694033008887008,1.0718138865000002,0.0000104237351921170810507271,0.0016680660699446021432581853,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-08,2538,9.1307969,1.0712781135,1.0713750892495002,1.0691979330487531,1.0718829037489996,0.000003112502109626055089949,0.002025966272278724900725157,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-09,3214,7.4347776,1.0713750892495002,1.0714721592113724,1.0690362269309638,1.0720079349989997,0.0001009521171946299920647039,0.0022682494357534913750837418,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,1642,69.5165199,1.0714721592113724,1.07206464,1.0688259109311741,1.0720659494995,0.0000103635189327676194114214,0.002486046876905667020029066,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11,1221,24.5318974,1.07206464,1.0716660164990002,1.0715690407490005,1.0721909807489998,0.0000685942914830221538084236,0.0005001250312578144536134034,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-12,2079,72.3645037,1.0716660164990002,1.071763992,1.0716660164990002,1.07597261,0.0000205947497446254888111949,0.0039773359206260149945823303,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13,1185,35.9302447,1.0723000079999998,1.0722399929989999,1.0717040069990003,1.0739,0.0000113750293030999634980686,0.0014818361781894071597056345,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-14,9166,229.9906169,1.0722399929989999,1.0723400179994997,1.0717040069990003,1.0739,0.0000002062482081952043256329,0.0014715602963793863160415845,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-15,1929,29.5108546,1.0723400179994997,1.0719029572495002,1.0718149792495,1.0724390427495,0.0000103135488069744854312263,0.0005001250312580011443910048,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-16,2549,16.5859395,1.0719029572495002,1.0720019324995,1.0719029572495002,1.0725380674995,0.00000191164205052608467333,0.000500125031258047720464934,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-17,1656,10.2211932,1.0725380674995,1.0721009077490002,1.0720019324995,1.0726370922489998,0.0000103371407877392646559897,0.0005103885615045605227428846,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18,466,20.4449591,1.0721009077490002,1.073898,1.0474309814319092,1.0739,0.0000009789418736712765877655,0.0104959090888825885663152604,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-19,604,61.7395784,1.0721129545352645,1.0722998579990004,1.0607943104408551,1.09,0.000002848667296472673444472,0.015767764908256697247706422,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20,1405,329.7743327,1.0728361419989998,1.0727601229994999,1.0723108552495,1.0729241639989997,0.0000047389587352341760909359,0.0005001250312580009350277241,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21,1227,582.0945753,1.0727601229994999,1.0728601479989996,1.0694961292592034,1.076271186440678,0.0004704032072377191303588222,0.0031793877776524332783146341,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-22,5439,683.890232,1.0723238519990002,1.0729591727489998,1.0723238519990002,1.0740318906605923,0.0000148630703973104247409636,0.0010408361736375108545164263,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-23,5978,120.1337516,1.0729591727489998,1.0725228022499997,1.0724338244995004,1.07305919775,0.0000038536793920533139457471,0.0005103846386557672288016056,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-24,1646,73.7513572,1.0725228022499997,1.0726217774990003,1.0721777,1.0744710860366714,0.0000103026278215014772922502,0.0021344325282226602149669531,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-25,1210,850.3166939,1.0731471677859297,1.0727207527490001,1.0725555,1.0732572472489996,0.0001028480437979801085907031,0.0005103825253886550041086297,,,,,,,,,,,,,,,,,,,,,,,,
