day,sample_source,target_ledger,sampled_at_utc,sample_offset_seconds,bids,asks,resting_offers,missing_offer_ids,fold_complete,price_source,p0,best_bid,best_ask,spread_pct,depth_buy_0.02,depth_sell_0.02,depth_buy_0.05,depth_sell_0.05,depth_buy_0.1,depth_sell_0.1,mc_cost_0.02,mc_target_0.02,mc_reachable_0.02,mc_cost_0.05,mc_target_0.05,mc_reachable_0.05,mc_cost_0.1,mc_target_0.1,mc_reachable_0.1,mc_cost_0.5,mc_target_0.5,mc_reachable_0.5,max_reachable_price,cost_to_max_reachable_price,band,band_confidence,flags,unevaluated_flags,methodology_version,data_source
,flag,61340262,,0,1,1,2,28,false,book,53.8971414,1.057,106.7372828,196.07771405850477999562329293,0,0,0,0,0,0,,,,,,,,,,0,80.8457121,true,106.7372828,0,CRITICAL,partial,MANIPULATION_CHEAP SPREAD_EXTREME THIN_DEPTH_5PCT ZERO_DEPTH_2PCT,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
,flag,61340263,,0,1,1,2,28,false,book,53.8971414,1.057,106.7372828,196.07771405850477999562329293,0,0,0,0,0,0,,,,,,,,,,0,80.8457121,true,106.7372828,0,CRITICAL,partial,MANIPULATION_CHEAP SPREAD_EXTREME THIN_DEPTH_5PCT ZERO_DEPTH_2PCT,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
